name;paper_count
Coppock A;1
Cordes A;1
Corneyllie A;1
Corral-Frias NS;1
Corral-Frías NS;2
Correa PS;2
Correia RC;2
Costa AB;1
Cournia Z;1
Covernton GA;1
Cowan N;1
Cox RW;1
Cox MP;1
Coyle D;1
Craddock RC;1
Crawley F P;1
Cremata EJ;1
Cressman KA;1
Crick T;1
Cristea V;2
Critchley HD;1
Crone DL;1
Crook Z;1
Cross ES;1
Crotti M;1
Crouch CD;1
Cruse D;2
Cruz C;1
Cruz Vásquez JE;2
Csürös K;1
Cuguero-Escofet N;1
Cullen KR;1
Cummins J;1
Cunningham WA;2
Cunningham JL;1
Curran PG;1
Curtin M;1
Custer RM;1
Cutler J;2
Cyrus-Lai W;4
Czamanski-Cohen J;3
Czarnek G;3
Czeszumski A;1
Czoschke S;2
Czymara C;1
Cárcamo R;2
Cárcamo RA;1
D'Ambrosio S;1
D'Amelio PB;1
d'Angelo Ungson N;1
d'Onofrio P;2
D'Ottone S;2
D'Urso ED;1
da Costa LP;1
Dabrowski PW;1
Daches S;3
Dadi K;1
Dahlstrom O;1
Dai D;1
Dalgar I;3
Dalla Riva GV;1
Dalla Rosa A;1
Damnjanović K;2
Daniels S;1
Danielsson H;4
Danziger M;1
Darai-Ramqvist E;1
Davis CP;1
Davis WE;3
Dayan M;1
de Geus EJC;1
de Holanda Coelho GL;2
de Hollander G;1
De Keersmaecker J;2
de la Cruz F;1
de la Iglesia-Vayá M;1
De la Rosa-Gomez A;2
de la Rosa-Gómez A;1
de la Rubia EA;1
de la Vega A;1
de Lima DO;1
de Oliveira CL;1
De Ron J;1
de Silva N;1
de Sousa AA;1
de Souza CD;1
de Vries YA;1
Dean L;1
Dean KK;1
Deantoni M;1
DeBruine L;1
DeBruine LM;1
Del Carmen Tejada R M;1
Delcourt S;2
Delgado MR;1
Delgado LGJ;2
Delios A;2
Delis I;1
Della Penna N;1
Delorme A;2
Delouvée S;2
DeMarree K G;1
Demeter DV;1
Demetriou L;1
Dempfle A;1
Dennison JB;1
Derks K;1
Derungs C;1
Desai K;2
Devezer B;1
Devinsky O;1
DeVito NJ;2
Di X;1
Diallo G;1
Dickie EW;1
Diel K;2
Dik BJ;1
Dimitrova D;1
Ding IL;1
Dirnagl U;1
Disabato DJ;1
Dittasiri N;1
Dixson BJW;3
Djamai I;3
Djordjevic JM;1
Dobler R;1
Dobra K;8
Dobra K and Björnstedt M;1
Dobryakova E;1
Dobson AJ;1
Doell KC;2
Doherty JK;1
Doherty TS;1
Dohle S;1
Domurat A;3
Dondelinger F;1
Donkin C;1
Donnat CL;1
Donnellan MB;1
Dorison CA;3
Douglas BD;2
Doyle A;1
Draschkow D;1
Draws T;1
Dreber A;8
Dresler M;1
Drexler SM;3
Drobniak SM;1
Drouhot L;1
Drude NI;1
Drupp MA;2
Du H;3
Du X;2
Dube BT;1
Dubey S;2
Dubova M;1
Dubrov D;3
Duff EP;1
Duffy AG;1
Duflot T;1
Dujmovic M;1
Dujols O;2
Dukart J;1
Dumas G;2
Duncan NW;1
Duncan AB;1
Dunham Y;1
Dunleavy DJ;2
Dunleavy D;2
Dunn BM;1
Dunn RP;1
Dunning J;1
DuPre E;1
Durnez J;1
Dursun P;2
Dutilh G;1
Dutta T;1
Dziobek I;1
Döbert TF;1
d’Onofrio P;1
Earl E;1
Earp BD;1
Eberhart-Hertel L;1
Ebersole CR;4
Ebersole C;1
Ebert T;1
Edelsbrunner PA;2
Edens J;1
Eed A;1
Eerland A;1
Egan GF;1
Egroo MV;1
Ehinger BV;1
Eickhoff SB;2
Eickhoff CR;1
Eklund A;1
Ekmanis J;2
El Alaou Si;1
El Arabi KA;1
Elbaek CT;3
Elmore JA;1
Elsherif M;2
Elsherif MM;1
Elvsåshagen T;1
Engelhard IM;2
English HM;1
Enqvist M;1
Ensminger DC;1
Erhart A;1
Eriksson K;1
Ernst UR;1
Escher YA;2
Espinoza Barría MF;2
Esteban O;1
Esteban-Serna C;3
Estel V;1
Etabari Z;1
Etebari Z;1
Etienne TW;2
Eudave L;3
Evans T;1
Evans K;2
Evans AC;1
Evans TR;1
Evans N;1
Mundt F*;1
Fair D;1
Falk TH;1
Falkstedt D;3
Fang K;2
Farage L;2
Farahmand S;1
Farahmand H;1
Farias M;1
Farias AR;2
FatahModares S;2
Fedor A;1
Fedotov M;3
Feingold FW;1
Feist MI;1
Feldman M;1
Feldman G;3
Feliccia AA;1
Feng J;1
Ferger MD;1
Ferguson SM;1
Fernandes A;2
Fernandes A P;1
Fernandez-Juricic E;1
Ferreira A;3
Ferreira-Arruda T;1
Ferrell JD;1
Feuerriegel S;2
Fidler F;1
Fido D;1
Fieberg J;1
Field JG;1
Filip K;3
Finch EA;1
Findor A;5
Finley S;1
Fiorenza EA;1
Fischer H;11
Fischer K;1
Fischer R;1
Fischer NL;2
Fisher DN;1
Fisher-Thompson D;1
Fitneva SA;1
Flandin G;1
Flor H;1
Flores-Staino C;1
Flowe H;2
Fondberg R;1
Fontaine A;1
Fontanesi L;1
Forbes PAG;3
Foroni F;3
Forscher PS;3
Forstmeier W;1
Forsyth GAL;1
Foster‐Dingley JC;1
Fourcade Y;1
Fox NW;1
Fox N;1
Francis Z;1
Frank MC;3
Frank GS;1
Fransson P;3
Franzen D;1
Fraser HS;1
Fredrikson M;1
Freira L;2
Freund CA;1
